video_id,url,description,timestamp,length_in_seconds,play_count,comments_count,reactions_count,reshare_count
8.8426E+14,https://www.facebook.com/reel/884259949984642/,iShowSpeed Realizes He Should Just Uninstall Clash Royale,1702947879,42.56,94000,39,1334,42
3.53415E+14,https://www.facebook.com/reel/353414584050300/,KSI Emotes On iShowSpeed,1702761619,24.775,415000,139,7245,199
6.70168E+14,https://www.facebook.com/reel/670167658608901/,Proof I'm Better Than KSI At FIFA,1702430058,35.436,155000,26,4152,44
2.61807E+14,https://www.facebook.com/reel/261807293247370/,iShowSpeed Goes In A Moshpit Without Security,1702360401,31.565,63000,21,1080,11
1.48006E+15,https://www.facebook.com/reel/1480063285889575/,iShowSpeed Downloaded Hacks & Still Lost 😂,1701738684,37.321,52000,10,498,10
7.05405E+14,https://www.facebook.com/reel/705404828190712/,iShowSpeed Reacts To Ronaldo Being The Best,1701280834,50.935,115000,83,6846,33
7.55823E+14,https://www.facebook.com/reel/755822693044991/,iShowSpeed Breaks Up With Aliyah....,1701201458,51.502,104000,39,1614,40
1.29108E+14,https://www.facebook.com/reel/129108046962127/,Bro really thinks he's in a tiktok edit,1700861838,48.916,61000,29,1331,73
1.0374E+15,https://www.facebook.com/reel/1037402337379230/,IShowSpeed Gets His Girlfriend Her First Fortnite Win,1700751682,40.558,45000,10,527,2
2.80062E+14,https://www.facebook.com/reel/280061848366525/,This Is Why Omegle Got Banned,1700744488,19.77,263000,117,8746,513
8.87278E+14,https://www.facebook.com/reel/887277816047097/,iShowSpeed Packs RONALDO,1700492505,49.55,112000,130,5337,122
3.05807E+14,https://www.facebook.com/reel/305807095694415/,iShowSpeed Get's His First FORTNITE Win,1700481616,31.265,45000,16,595,12
6.34387E+14,https://www.facebook.com/reel/634387491973880/,iShowSpeed Backflips Into His New Pool,1700350452,12.863,734000,30,11956,11
8.91642E+14,https://www.facebook.com/reel/891641689245402/,iShowSpeed's Rematch Against Chica,1700350426,32.732,46000,13,815,27
1.30384E+15,https://www.facebook.com/reel/1303840423650990/,iShowSpeed Packs NEYMAR,1698178698,53.27,87000,51,5293,59
3.60611E+14,https://www.facebook.com/reel/360611396310708/,iShowSpeed PRESSES Messi,1698097922,15.14,121000,38,3665,19
2.872E+14,https://www.facebook.com/reel/287199837523589/,Dalher Mehndi TUNAK TUNAK (iShowSpeed REMIX),1697940044,35.553,490000,322,15508,355
3.39284E+14,https://www.facebook.com/reel/339284065295713/,iShowSpeed Never Loses Bark Offs,1697849469,19.27,1100000,612,15759,1000
2.69137E+15,https://www.facebook.com/reel/2691371821162419/,iShowSpeed vs KSI FULL FIGHT,1697590885,18.576,104000,31,3271,16
3.76524E+14,https://www.facebook.com/reel/376524054697704/,iShowSpeed Fried Chicken ASMR,1697328040,33.15,110000,223,3164,87
1.04353E+15,https://www.facebook.com/reel/1043534170003543/,GOD BLESS AMERICA,1697317603,10.778,201000,21,1830,19
2.97934E+14,https://www.facebook.com/reel/297934039751481/,iShowSpeed Makes His First Jumpscare,1697208860,8.313,108000,40,1992,64
8.64398E+14,https://www.facebook.com/reel/864398175076299/,IllegalRizz 💀,1697127088,34.993,478000,174,13213,467
6.91112E+14,https://www.facebook.com/reel/691112096250411/,iShowSpeed Packs Himself,1697043692,19.12,836000,74,21568,115
1.62858E+14,https://www.facebook.com/reel/162857500228365/,iShowSpeed Packs Messi While Facetiming KAI CENAT,1697032869,44.879,157000,168,6582,258
6.63602E+14,https://www.facebook.com/reel/663601642534640/,Want A Break From The Ads?,1696989610,13.914,168000,66,4192,308
3.11664E+14,https://www.facebook.com/reel/311663804834744/,iShowSpeed Finds His PERFECT MATCH,1696982415,45.88,5900000,3145,270802,12000
2.8013E+14,https://www.facebook.com/reel/280129981562475/,iShowSpeed Gets PRANKED,1696975265,6.874,316000,85,5912,389
2.79448E+14,https://www.facebook.com/reel/279447668336703/,iShowSpeed Shows Off His Rizz,1696967598,30.448,1300000,129,45724,568
1.7328E+15,https://www.facebook.com/reel/1732798250526499/,Chat Donated This During iShowSpeed's Haircut,1696871104,31.699,96000,17,1941,52
7.00595E+14,https://www.facebook.com/reel/700594534895957/,iShowSpeed Reacts To Ronaldo Thowing His Son,1696863671,10.361,6800000,1181,191625,3900
1.73147E+15,https://www.facebook.com/reel/1731470540689034/,iShowSpeed Fights Himself,1696798502,38.422,741000,408,26715,3200
8.38219E+14,https://www.facebook.com/reel/838219324623078/,iShowSpeed Reacts To A Leaked Video of Him,1696608075,33.584,76000,30,1144,14
3.35407E+14,https://www.facebook.com/reel/335407115646843/,iShowSpeed's Weirdest Rage,1696545048,18.586,126000,47,2396,138
1.32644E+15,https://www.facebook.com/reel/1326444891323275/,Cristiano Ronaldo Sent Me A Message,1696540777,53.454,89000,46,3871,8
3.3401E+14,https://www.facebook.com/reel/334009632362939/,iShowSpeed Feeds A Homeless Dog,1696365043,33.067,3300000,364,136863,1500
1.06123E+15,https://www.facebook.com/reel/1061233051557968/,iShowSpeed Saves A Fan's Life,1696365033,24.225,325000,54,6966,113
