Video ID,Title,Date Posted,Time Posted,Duration,Duration (seconds),Views,Likes,Comments,Like Rate (%),Comment Rate (%),Collaborators,Content Type,Video Type,Was Livestream,Thumbnail URL,Country
3B_Q5p3DZ5g,🔴LIVE | 20 GIRLS COMPETE FOR SPEED ⚡😍,4/6/2024,0:16:16,4:24:09,15849,1396966,47265,2010,3.38,0.14,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/3B_Q5p3DZ5g/hqdefault.jpg,Not Applicable
UZSvMw_pi50,NOTHING can Stop me,4/2/2024,23:16:40,4:28:36,16116,1457009,45708,1392,3.14,0.1,,Variety Stream,Stream,True,https://i.ytimg.com/vi/UZSvMw_pi50/hqdefault.jpg,Not Applicable
tfB_faWw71Q,todays a joke😂🫵💀,4/1/2024,22:57:51,4:15:06,15306,1705824,57270,1352,3.36,0.08,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/tfB_faWw71Q/hqdefault.jpg,Not Applicable
CgNd7lP1-NI,i’m quitting youtube…..💔,4/1/2024,4:00:07,1:27,87,1601319,64601,7845,4.03,0.49,,IRL / Vlog,Regular Video,False,https://i.ytimg.com/vi/CgNd7lP1-NI/hqdefault.jpg,Not Applicable
v1wdipqoBog,"LAMBORGHINI🏎️💨🍃,",3/31/2024,20:25:13,1:59:38,7178,1122095,44142,525,3.93,0.05,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/v1wdipqoBog/hqdefault.jpg,Not Applicable
5j8V3wHw1ls,I Bought My First Car……,3/30/2024,16:07:16,7:09,429,7052881,272234,10251,3.86,0.15,,IRL / Vlog,Regular Video,False,https://i.ytimg.com/vi/5j8V3wHw1ls/hqdefault.jpg,Not Applicable
EfIvsxoTAYw,Long Live The Speed,3/28/2024,23:25:34,3:34:54,12894,1857353,51206,1753,2.76,0.09,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/EfIvsxoTAYw/hqdefault.jpg,Not Applicable
4fFcolZu5YY,what animal do look like,3/26/2024,1:41:04,5:38:48,20328,1486537,50119,1161,3.37,0.08,,Variety Stream,Stream,True,https://i.ytimg.com/vi/4fFcolZu5YY/hqdefault.jpg,Not Applicable
jZRVf1SRo8E,"IShowSpeed - Seven (Official Music Video) {Prod - shonci, DJ Scheme, DJ Luan}",3/24/2024,18:00:19,3:22,202,2105369,106251,8238,5.05,0.39,"['DJ Scheme', 'DJ Luan']",Music,Regular Video,False,https://i.ytimg.com/vi/jZRVf1SRo8E/hqdefault.jpg,Not Applicable
APO1jzJnDwo,IShowSpeed - Porradão (Official Music Video) {Prod - shonci & DJ Scheme},3/24/2024,17:00:05,2:42,162,5881355,176250,8829,3.0,0.15,['DJ Scheme'],Music,Regular Video,False,https://i.ytimg.com/vi/APO1jzJnDwo/hqdefault.jpg,Not Applicable
Rrem1snhdRY,IShowSpeed x Bandmanrill - Trip 2 Brazil (Official Music Video),3/24/2024,16:00:06,1:40,100,1177771,74721,4039,6.34,0.34,['Bandmanrill'],Music,Stream,True,https://i.ytimg.com/vi/Rrem1snhdRY/hqdefault.jpg,Brazil
dJ8FmiwDknY,IShowSpeed - Get Down (Official Music Video),3/23/2024,16:00:08,2:25,145,3688118,186795,8372,5.06,0.23,,Music,Stream,True,https://i.ytimg.com/vi/dJ8FmiwDknY/hqdefault.jpg,Not Applicable
4r3TkdiMtcw,IShowSpeed x MC Kevin O Chris - Amar de (Official Music Video),3/22/2024,16:00:07,3:21,201,6163102,363050,12517,5.89,0.2,['Kevin O Chris'],Music,Stream,True,https://i.ytimg.com/vi/4r3TkdiMtcw/hqdefault.jpg,Not Applicable
fBqqz3hkXNs,IShowSpeed - Monkey  (Official Music Video),3/21/2024,16:00:08,2:51,171,6457272,297511,17138,4.61,0.27,,Music,Stream,True,https://i.ytimg.com/vi/fBqqz3hkXNs/hqdefault.jpg,Not Applicable
qZnHrQ1uEEo,IRL in Miami 🌊🌴,3/19/2024,1:05:58,5:18:23,19103,2371631,76436,1993,3.22,0.08,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/qZnHrQ1uEEo/hqdefault.jpg,Not Applicable
mp2ebnHauZU,UNITEDD WON,3/17/2024,23:52:32,3:59:06,14346,1031670,37981,1486,3.68,0.14,,Sports,Stream,True,https://i.ytimg.com/vi/mp2ebnHauZU/hqdefault.jpg,Not Applicable
